,CO_MUNICIPIO_IBGE,MUNICIPIO,Valor Liquido
346,412510, SAO JOAO DO TRIUNFO ,5063482.05
347,412520, SAO JORGE D OESTE ,2643578.14
348,412530, SAO JORGE DO IVAI ,1978705.83
349,412535, SAO JORGE DO PATROCINIO ,3939421.56
350,412540, SAO JOSE DA BOA VISTA ,1361305.26
351,412545, SAO JOSE DAS PALMEIRAS ,799108.96
352,412550, SAO JOSE DOS PINHAIS ,56956481.65
353,412555, SAO MANOEL DO PARANA ,997887.59
354,412560, SAO MATEUS DO SUL ,9768424.9
355,412570, SAO MIGUEL DO IGUACU ,4865000.82
356,412575, SAO PEDRO DO IGUACU ,1054882.29
357,412580, SAO PEDRO DO IVAI ,1850646.99
358,412590, SAO PEDRO DO PARANA ,813409.01
359,412600, SAO SEBASTIAO DA AMOREIRA ,1915250.99
360,412610, SAO TOME ,1942910.21
361,412620, SAPOPEMA ,2415617.38
362,412625, SARANDI ,9763412.44
363,412627, SAUDADE DO IGUACU ,1232624.82
364,412630, SENGES ,2106998.85
365,412635, SERRANOPOLIS DO IGUACU ,2109536.94
366,412640, SERTANEJA ,1646263.24
367,412650, SERTANOPOLIS ,3380190.5
368,412660, SIQUEIRA CAMPOS ,3233625.08
369,412665, SULINA ,1870323.45
370,412667, TAMARANA ,3127319.03
371,412670, TAMBOARA ,1247975.36
372,412680, TAPEJARA ,4325660.85
373,412690, TAPIRA ,2089382.27
374,412700, TEIXEIRA SOARES ,2336063.3
375,412710, TELEMACO BORBA ,8700013.47
376,412720, TERRA BOA ,6862362.6
377,412730, TERRA RICA ,5952173.88
378,412740, TERRA ROXA ,3121618.23
379,412750, TIBAGI ,3392004.76
380,412760, TIJUCAS DO SUL ,4710433.14
381,412770, TOLEDO ,22053753.94
382,412780, TOMAZINA ,2407587.36
383,412785, TRES BARRAS DO PARANA ,4000079.76
384,412788, TUNAS DO PARANA ,1819744.78
385,412790, TUNEIRAS DO OESTE ,3231648.85
386,412795, TUPASSI ,1355999.43
387,412796, TURVO ,3001258.32
388,412800, UBIRATA ,8869651.64
389,412810, UMUARAMA ,102538906.92
390,412820, UNIAO DA VITORIA ,10201234.82
391,412830, UNIFLOR ,872280.53
392,412840, URAI ,2945366.02
393,412853, VENTANIA ,3616615.71
394,412855, VERA CRUZ DO OESTE ,3263867.96
395,412860, VERE ,2238612.64
396,412865, VIRMOND ,1232875.58
397,412870, VITORINO ,1932397.9
398,412850, WENCESLAU BRAZ ,2766338.8
399,412880, XAMBRE ,2573086.75

